velocidad_aire,0,0.25,0.5,0.75,1,1.25,1.5
0.05,0.005,0.0042,0.0038,0.0032,0.003,0.0024,0.002
0.1,0.005,0.0042,0.0038,0.0032,0.003,0.0024,0.002
0.15,0.0052,0.0044,0.004,0.0034,0.0031,0.0024,0.0021
0.2,0.0053,0.0046,0.0042,0.0036,0.0032,0.0025,0.0023
0.3,0.0055,0.0048,0.0043,0.0037,0.0033,0.0026,0.0023
0.4,0.0058,0.005,0.0043,0.0038,0.0033,0.0027,0.0023
0.5,0.006,0.0052,0.0044,0.004,0.0034,0.0028,0.0024
1,0.0063,0.0053,0.0046,0.0041,0.0036,0.0032,0.0026
1.5,0.0065,0.0054,0.0047,0.0042,0.0037,0.0032,0.0026
